name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist
Mood (feat. iann dior),24kGoldn,3tjFYV6RSFtuktYl3ZtYcq,https://p.scdn.co/mp3-preview/45cb08fdb67744ab7f1f172bb750e9c10415c37a?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ff8c985ecb3b7c5f847be357,0.7,0.722,-3.5580000000000003,0.0369,0.221,0.0,0.272,0.7559999999999999,0.11826941176470593,0.7315882352941177,0.6812352941176469,1.627058823529412e-06,0.15999999999999998,0.12376470588235294,0.5668235294117645
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,0.2714394693877552,0.5748081632653063,0.6078734693877554,0.010594387632653057,0.20172775510204072,0.0868114285714287,0.3051893877551023
Dynamite,BTS,0t1kP63rueHleOhQkYSXFY,https://p.scdn.co/mp3-preview/a707728846c105f4d8552b8546c30b121bf517f0?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273755995e9ff2b1b0c753f5eb8,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,0.0993504435483871,0.6147983870967739,0.7864516129032252,4.374403225806452e-05,0.20260806451612887,0.12851491935483875,0.5333693548387088
ROCKSTAR (feat. Roddy Ricch),DaBaby,7ytR5pFWmSjzHJIeQkgog4,,https://i.scdn.co/image/ab67616d0000b27320e08c8cc23f404d723b5647,0.746,0.69,-7.956,0.16399999999999998,0.247,0.0,0.101,0.4970000000000001,0.09311292929292928,0.8292828282828286,0.6576262626262627,2.303434343434344e-06,0.17042525252525248,0.2847252525252526,0.6293737373737373
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,0PvFJmanyNQMseIFrU708S,,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369,0.823,0.586,-6.606,0.2,0.114,0.0,0.193,0.34700000000000003,0.19152,0.6751428571428569,0.7026857142857142,0.00019416228571428573,0.2476685714285715,0.28010285714285715,0.4902285714285714
Laugh Now Cry Later (feat. Lil Durk),Drake,2SAqBLGA283SUiwJ3xOUVI,,https://i.scdn.co/image/ab67616d0000b27352c75ed37313b889447011ef,0.7609999999999999,0.518,-8.871,0.134,0.244,3.47e-05,0.107,0.522,0.9086756756756756,0.4242432432432433,0.3060540540540541,0.0002702345945945947,0.2445513513513513,0.11138108108108108,0.43529729729729744
Hawái,Maluma,4uoR6qeWeuL4Qeu2qJzkuG,https://p.scdn.co/mp3-preview/07037d916c2e4ea28cfe9f7489364d8bd18ff15e?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2734805528033046475b63f0fd5,0.787,0.728,-3.455,0.389,0.189,2.29e-05,0.0629,0.545,0.20086117647058827,0.7414901960784311,0.7596862745098041,8.848784313725494e-05,0.15650196078431375,0.12092156862745095,0.7071901960784311
Lemonade,Internet Money,02kDW379Yfd5PzW5A6vuGt,,https://i.scdn.co/image/ab67616d0000b273d46a8fffbe6c8630784f04da,0.799,0.66,-6.153,0.079,0.256,0.0,0.111,0.471,0.189,0.698,0.6596666666666667,0.0,0.181,0.11533333333333333,0.35700000000000004
Savage Love (Laxed - Siren Beat),Jawsh 685,1xQ6trAsedVPCdbtDAmk0c,https://p.scdn.co/mp3-preview/d709526bcdffa6683f85c9255c2fd4e7871ba04c?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e3eb3b8feeafb746ecf659e7,0.767,0.481,-8.52,0.0803,0.234,0.0,0.269,0.7609999999999999,0.11646666666666668,0.7463333333333333,0.5736666666666667,0.4613333333333334,0.3016666666666667,0.1001,0.8929999999999999
Head & Heart (feat. MNEK),Joel Corry,6cx06DFPPHchuUAcTxznu9,https://p.scdn.co/mp3-preview/a860b3fe04f480539af5f08b3672bb2ecff71b6b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27391e93c59bacfe819db9601eb,0.7340000000000001,0.8740000000000001,-3.158,0.0662,0.168,1.14e-05,0.0489,0.905,0.0946,0.6970000000000001,0.9209999999999999,1.9e-05,0.159,0.0424,0.722
Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,0.35700000000000004,0.425,-7.301,0.0333,0.584,0.0,0.322,0.27,0.3140825,0.570625,0.5913749999999999,5.399375e-06,0.14340624999999996,0.0765375,0.4666874999999999
Holy (feat. Chance The Rapper),Justin Bieber,5u1n1kITHCxxp8twBcZxWy,,https://i.scdn.co/image/ab67616d0000b273572c68f79b356c21202e248c,0.6729999999999999,0.7040000000000001,-8.056000000000001,0.36,0.196,0.0,0.0898,0.3720000000000001,0.2429022208588957,0.6424171779141108,0.6250981595092024,0.0042171369325153365,0.16335705521472396,0.08268159509202462,0.5617840490797544
you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,https://p.scdn.co/mp3-preview/47afb10323067e827310e5898e4d52c8bdbe72ee?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2730c2c97099fd6a637ed0aa4a4,0.642,0.374,-9.386,0.0545,0.7859999999999999,0.0,0.0906,0.0799,0.4949294117647059,0.617,0.4101764705882353,2.5585882352941173e-05,0.17207058823529414,0.06610588235294118,0.3098823529411765
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,0EhpEsp4L0oRGM0vmeaN5e,,https://i.scdn.co/image/ab67616d0000b273312bd86cc2db22fde885ee73,0.5710000000000001,0.693,-8.234,0.0545,0.00536,0.0,0.173,0.393,0.1378857142857143,0.7521238095238096,0.7254190476190473,0.009048335619047616,0.17222761904761902,0.14337619047619046,0.6562571428571431
POPSTAR (feat. Drake),DJ Khaled,6EDO9iiTtwNv6waLwa1UUq,https://p.scdn.co/mp3-preview/f06dde25172503546a3b136fba9822a89866a2d3?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273efaecb4b9cbae7c120d14617,0.8,0.56,-4.8180000000000005,0.261,0.057,0.0,0.134,0.45,0.056927199999999976,0.6345405405405405,0.7531621621621625,3.464864864864865e-07,0.2975675675675676,0.1594675675675675,0.4824324324324325
Breaking Me,Topic,3H7ihDc1dqLriiWXwsc2po,,https://i.scdn.co/image/ab67616d0000b273ca801dab96017456b9847ac2,0.789,0.72,-5.652,0.218,0.223,0.0,0.129,0.664,0.223,0.789,0.72,0.0,0.129,0.218,0.664
Mood Swings (feat. Lil Tjay),Pop Smoke,5rZlwNFl01HqLWBQGryKSm,,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369,0.48,0.602,-6.335,0.368,0.487,0.0,0.0848,0.269,0.19152,0.6751428571428569,0.7026857142857142,0.00019416228571428573,0.2476685714285715,0.28010285714285715,0.4902285714285714
death bed (coffee for your head),Powfu,7eJMfftS33KTjuF7lTsMCx,https://p.scdn.co/mp3-preview/d951d03a53af76165e0f8550ce0319d526c6910d?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273bf01fd0986a195d485922167,0.726,0.431,-8.765,0.135,0.731,0.0,0.696,0.348,0.39325,0.8095,0.40875,6.192625000000001e-05,0.2340875,0.131225,0.322375
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,2MbdDtCv5LUVjYy9RuGTgC,https://p.scdn.co/mp3-preview/3748f897bbea6068b383ea857ace01b9a5236a06?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273b5f0a8d46cef9647548c64dc,0.904,0.723,-5.224,0.26,0.0631,0.0,0.185,0.835,0.058266666666666675,0.8530666666666669,0.5947999999999999,0.0006229913333333334,0.13132666666666665,0.16418666666666668,0.5921333333333334
Come & Go (with Marshmello),Juice WRLD,2Y0wPrPQBrGhoLn14xRYCG,,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,0.625,0.8140000000000001,-5.181,0.0657,0.0172,0.0,0.158,0.535,0.18227728671328666,0.6822727272727279,0.6197762237762235,0.0019676615384615387,0.2259916083916085,0.17096853146853147,0.4499580419580417
What You Know Bout Love,Pop Smoke,1tkg4EHVoqnhR6iFEXb60y,,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369,0.7090000000000001,0.5479999999999999,-8.493,0.353,0.65,1.59e-06,0.133,0.5429999999999999,0.19152,0.6751428571428569,0.7026857142857142,0.00019416228571428573,0.2476685714285715,0.28010285714285715,0.4902285714285714
Wishing Well,Juice WRLD,2U5WueTLIK5WJLD7mvDODv,,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,0.65,0.613,-6.13,0.128,0.00336,0.0,0.267,0.0804,0.18227728671328666,0.6822727272727279,0.6197762237762235,0.0019676615384615387,0.2259916083916085,0.17096853146853147,0.4499580419580417
Go Crazy,Chris Brown,1IIKrJVP1C9N7iPtG6eOsK,https://p.scdn.co/mp3-preview/cd1e4584425d4be8eae7489d704a36c3166a0065?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27363e0ddbb488d0eeec0e738fc,0.755,0.578,-8.932,0.145,0.316,0.0,0.25,0.581,0.1018924382978722,0.6608510638297873,0.640302127659575,7.828408510638298e-05,0.17256382978723406,0.13003148936170206,0.4863744680851062
Midnight Sky,Miley Cyrus,27ycaQnQAxaPiyeg3nr2aB,https://p.scdn.co/mp3-preview/837e5649e915ca76f814a3923612703ed7fed29d?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d59c3c489691c8b41043cab2,0.705,0.8140000000000001,-5.466,0.0346,0.00115,0.00312,0.203,0.259,0.09438032876712332,0.5686164383561643,0.7358493150684932,8.239315068493153e-05,0.17055205479452054,0.0639821917808219,0.4478630136986301
Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,https://p.scdn.co/mp3-preview/a571ff5fe255c4a51a609afa67bafd821ea396bf?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27354eab2e4aa8b8706b6b526d2,0.789,0.711,-4.248,0.041,0.0332,0.0,0.0876,0.753,0.08691088888888887,0.6414888888888889,0.7283999999999998,3.705333333333333e-06,0.19735777777777785,0.10745333333333333,0.6183777777777777
Dance Monkey,Tones And I,2XU0oxnq2qxCpomAAuJY8K,https://p.scdn.co/mp3-preview/535ffea66207a0fc07d57fbaea7b5594be797f9b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169,0.8240000000000001,0.588,-6.4,0.0924,0.6920000000000001,0.000104,0.149,0.513,0.5005000000000001,0.7606666666666667,0.5558333333333335,3.4666666666666665e-05,0.19816666666666666,0.08050000000000003,0.4495
ily (i love you baby) (feat. Emilee),Surf Mesa,62aP9fBQKYKxi7PDXwcUAS,,https://i.scdn.co/image/ab67616d0000b273b3de5764cc02f94714487c86,0.674,0.774,-7.567,0.0892,0.0686,0.00188,0.393,0.33,0.0432,0.6806666666666668,0.7093333333333334,0.0006266666666666666,0.193,0.058133333333333335,0.43933333333333335
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,0.501,0.405,-5.6789999999999985,0.0319,0.7509999999999999,0.0,0.105,0.446,0.6428466666666668,0.5946333333333332,0.4496999999999999,0.0,0.14051999999999995,0.04339333333333335,0.32733333333333337
