artists,album_name,track_name
A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky
Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop
Andrew Belle,Black Bear,Pieces
Ron Pope,The Bedroom Demos,A Drop in the Ocean
Andrew Belle,Black Bear,The Enemy
Sara Bareilles,Little Voice,Gravity
Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley
Five For Fighting,America Town,Superman (It's Not Easy)
Drew Holcomb & The Neighbors,Good Light,What Would I Do Without You
Sara Bareilles,The Blessed Unrest,Brave
Augustana,All The Stars and Boulevards,Boston
Catherine Feeny,Hurricane Glass,Mr Blue
Ross Copperman,Holding On And Letting Go - Single,Holding On And Letting Go
Howie Day,Stop All the World Now (Special Edition),Collide - Acoustic Version
Susie Suh;Robot Koch,Here with Me,Here with Me
Five For Fighting,The Battle for Everything,100 Years
Cary Brothers,Under Control,Belong
Sara Bareilles,Little Voice,Love Song
Donovan Woods,"Hard Settle, Ain't Troubled","Portland, Maine"
Anna Nalick,Wreck of the Day,Breathe (2 AM)
Ray LaMontagne,Trouble,Hold You in My Arms
Sara Bareilles,The Blessed Unrest,I Choose You
Mindy Gledhill,Anchor,I Do Adore
Ray LaMontagne,Trouble,Jolene
Joy Williams,Front Porch,Front Porch
The Civil Wars,The Civil Wars,Dust to Dust
Boyce Avenue;Kina Grannis,"Cover Sessions, Vol. 2",Fast Car
Ben Rector,The Walking in Between,I Like You
John Frusciante,Shadows Collide With People,Song To Sing When I'm Lonely
Joy Williams,Front Porch,The Trouble with Wanting
Ray LaMontagne,Gossip In The Grain,You Are the Best Thing
Buddy Guy;Bonnie Raitt,Feels Like Rain,Feels Like Rain (feat. Bonnie Raitt)
Penny and Sparrow,Finch,Eloise
Ray LaMontagne,Gossip In The Grain,Let It Be Me
Boyce Avenue,"Cover Sessions, Vol. 2",Someone Like You
Brandi Carlile,Bear Creek,Heart's Content
Kris Allen,Kris Allen,Live Like We're Dying
Joshua Radin,We Were Here,Only You
Sara Bareilles,Kaleidoscope Heart,Breathe Again
Ray LaMontagne,Trouble,Trouble
Ben Rector,The Walking in Between,Forever Like That
Ciaran Lavery,Not Nearly Dark,Shame
The Civil Wars,The Civil Wars,Devil's Backbone
SafetySuit,Hallelujah,Never Stop (Wedding Version)
The Civil Wars,Between The Bars (EP),Billie Jean
